,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
47,for_sale,149900.0,1.0,1.0,0.26,"Bo Espinal Carr # 442, Aguada, PR, 00602",Bo Espinal Carr # 442,Aguada,Puerto Rico,2100.0,00602
48,for_sale,180000.0,2.0,2.0,0.24,"4417 Br, Aguada, PR, 00602",4417 Br,Aguada,Puerto Rico,1138.0,00602
52,for_sale,90000.0,2.0,1.0,0.07,"A-18 Condominio Los Almendros, Aguada, PR, 00602",A-18 Condominio Los Almendros,Aguada,Puerto Rico,813.0,00602
56,for_sale,10000000.0,6.0,5.0,0.12,"441 Bo Carrizal Km 2 6 Unit 4, Aguada, PR, 00602",441 Bo Carrizal Km 2 6 Unit 4,Aguada,Puerto Rico,6000.0,00602
70,for_sale,600000.0,6.0,5.0,0.1,"Pr, Aguada, PR, 00602",Pr,Aguada,Puerto Rico,2400.0,00602
88,for_sale,115000.0,3.0,1.0,0.2,"Sec Villa Cortez, Aguadilla, PR, 00603",Sec Villa Cortez,Aguadilla,Puerto Rico,980.0,00603
105,for_sale,234900.0,6.0,2.0,0.18,"Bo Camaseyes Calle San Francisco # 108, Aguadilla, PR, 00603",Bo Camaseyes Calle San Francisco # 108,Aguadilla,Puerto Rico,2035.0,00603
115,for_sale,649900.0,8.0,3.0,0.19,"Bo Montana Calle Las Palmas, Aguadilla, PR, 00603",Bo Montana Calle Las Palmas,Aguadilla,Puerto Rico,3700.0,00603
127,for_sale,98000.0,5.0,2.0,4.55,"Bo Maricao Afuera, Maricao, PR, 00606",Bo Maricao Afuera,Maricao,Puerto Rico,2156.0,00606
176,for_sale,106000.0,2.0,1.0,0.13,"Solar Carr 109 Km 4 9 Bo Carreras # 6, Anasco, PR, 00610",Solar Carr 109 Km 4 9 Bo Carreras # 6,Anasco,Puerto Rico,826.0,00610
225,for_sale,475000.0,1.0,3.0,0.13,"58 Calle Gonzalo Marin # 0, Arecibo, PR, 00612",58 Calle Gonzalo Marin # 0,Arecibo,Puerto Rico,10000.0,00612
229,for_sale,39500.0,1.0,1.0,0.14,"Pr, Arecibo, PR, 00612",Pr,Arecibo,Puerto Rico,800.0,00612
232,for_sale,110000.0,4.0,2.0,0.13,"Car 2 R656 K1 H1 Sector Pueblo Nuevo Bo Bajadero, Arecibo, PR, 00612",Car 2 R656 K1 H1 Sector Pueblo Nuevo Bo Bajadero,Arecibo,Puerto Rico,1000.0,00612
237,for_sale,179000.0,5.0,3.0,0.08,"Calle V18 Urb Vis, Arecibo, PR, 00612",Calle V18 Urb Vis,Arecibo,Puerto Rico,2200.0,00612
410,for_sale,150000.0,3.0,1.0,0.16,"A 12 Urb Victor Rivera Ext, Cabo Rojo, PR, 00623",A 12 Urb Victor Rivera Ext,Cabo Rojo,Puerto Rico,936.0,00623
411,for_sale,325000.0,3.0,4.0,0.23,"Marcial Rivera St, Cabo Rojo, PR, 00623",Marcial Rivera St,Cabo Rojo,Puerto Rico,3089.0,00623
412,for_sale,130000.0,3.0,4.0,0.09,"19 309 Kmhm Pr # 86, Cabo Rojo, PR, 00623",19 309 Kmhm Pr # 86,Cabo Rojo,Puerto Rico,2064.0,00623
413,for_sale,139900.0,2.0,2.0,0.46,"101 Llanos Tunas Sector Sosa, Cabo Rojo, PR, 00623",101 Llanos Tunas Sector Sosa,Cabo Rojo,Puerto Rico,1242.0,00623
415,for_sale,395000.0,8.0,5.0,0.48,"103 Rd, Cabo Rojo, PR, 00623",103 Rd,Cabo Rojo,Puerto Rico,8368.0,00623
422,for_sale,385000.0,3.0,3.0,0.26,"Calle 4 Hacienda De Belvedere Unit B2, Cabo Rojo, PR, 00623",Calle 4 Hacienda De Belvedere Unit B2,Cabo Rojo,Puerto Rico,2069.0,00623
428,for_sale,1995000.0,5.0,6.0,5.0,"Pr, Cabo Rojo, PR, 00623",Pr,Cabo Rojo,Puerto Rico,10000.0,00623
496,for_sale,135000.0,4.0,3.0,0.24,"Car 129 R455 K2 6 Int Parcelas Viejas, Camuy, PR, 00627",Car 129 R455 K2 6 Int Parcelas Viejas,Camuy,Puerto Rico,1500.0,00627
554,for_sale,300000.0,8.0,4.0,0.45,"Pr, Sabana Grande, PR, 00637",Pr,Sabana Grande,Puerto Rico,2852.0,00637
555,for_sale,54900.0,5.0,2.0,1.21,"328 Km 2 3 Bo Rayos Guaras, Sabana Grande, PR, 00637",328 Km 2 3 Bo Rayos Guaras,Sabana Grande,Puerto Rico,1898.0,00637
556,for_sale,250000.0,2.0,1.0,0.2,"121 Km Hm 6 9 Solar 1 Bo Susua, Sabana Grande, PR, 00637",121 Km Hm 6 9 Solar 1 Bo Susua,Sabana Grande,Puerto Rico,1275.0,00637
608,for_sale,65000.0,3.0,2.0,0.09,"Las Casitas Unit A12, Ciales, PR, 00638",Las Casitas Unit A12,Ciales,Puerto Rico,1100.0,00638
620,for_sale,75000.0,5.0,3.0,0.1,"191 Ave Esteves, Utuado, PR, 00641",191 Ave Esteves,Utuado,Puerto Rico,950.0,00641
626,for_sale,600000.0,6.0,3.0,30.0,"Pr 605 Bo Consejo # 0, Utuado, PR, 00641",Pr 605 Bo Consejo # 0,Utuado,Puerto Rico,5000.0,00641
627,for_sale,120000.0,3.0,1.0,0.26,"Pr611 Km 8 5 Sabana Grande, Utuado, PR, 00641",Pr611 Km 8 5 Sabana Grande,Utuado,Puerto Rico,781.0,00641
636,for_sale,12000000.0,4.0,7.0,0.37,"418 Dorado Bch E, Dorado, PR, 00646",418 Dorado Bch E,Dorado,Puerto Rico,7096.0,00646
637,for_sale,750000.0,3.0,3.0,0.24,"6E Zafiro St, Dorado, PR, 00646",6E Zafiro St,Dorado,Puerto Rico,2377.0,00646
638,for_sale,550000.0,3.0,3.0,0.16,"Chalets Dorado Del Mar, Dorado, PR, 00646",Chalets Dorado Del Mar,Dorado,Puerto Rico,2000.0,00646
639,for_sale,950000.0,4.0,3.0,0.14,"692 Mar Del Norte St, Dorado, PR, 00646",692 Mar Del Norte St,Dorado,Puerto Rico,2850.0,00646
640,for_sale,1150000.0,5.0,3.0,0.14,"695 Paseo Los Corales Ii, Dorado, PR, 00646",695 Paseo Los Corales Ii,Dorado,Puerto Rico,3500.0,00646
642,for_sale,5500000.0,3.0,2.0,0.24,"35 Brenas Ests, Dorado, PR, 00646",35 Brenas Ests,Dorado,Puerto Rico,2000.0,00646
643,for_sale,16000000.0,4.0,7.0,0.75,"31 Dorado Country Ests, Dorado, PR, 00646",31 Dorado Country Ests,Dorado,Puerto Rico,7000.0,00646
645,for_sale,995000.0,4.0,3.0,0.25,"771 Mar Negro St, Dorado, PR, 00646",771 Mar Negro St,Dorado,Puerto Rico,2900.0,00646
647,for_sale,1275000.0,4.0,4.0,0.25,"769 Calle Mar Negro, Dorado, PR, 00646",769 Calle Mar Negro,Dorado,Puerto Rico,2900.0,00646
648,for_sale,1135000.0,4.0,3.0,0.15,"689 Calle Mar Del Norte, Dorado, PR, 00646",689 Calle Mar Del Norte,Dorado,Puerto Rico,2850.0,00646
649,for_sale,4995000.0,3.0,4.0,0.22,"20 Dorado Bch E, Dorado, PR, 00646",20 Dorado Bch E,Dorado,Puerto Rico,3100.0,00646
656,for_sale,2500000.0,4.0,4.0,0.25,"28 Calle Palma De Mallorca, Dorado, PR, 00646",28 Calle Palma De Mallorca,Dorado,Puerto Rico,3509.0,00646
658,for_sale,5950000.0,3.0,5.0,0.23,"263 Dorado Bch E, Dorado, PR, 00646",263 Dorado Bch E,Dorado,Puerto Rico,3200.0,00646
661,for_sale,6495000.0,4.0,4.0,0.15,"3 Cond the Grns Unit D3, Dorado, PR, 00646",3 Cond the Grns Unit D3,Dorado,Puerto Rico,6703.0,00646
